year,マイワシ,カタクチイワシ,サバ類,ブリ,サワラ,スルメイカ,スケトウダラ,ウルメイワシ
1956,206302,346706,266197,42881,3802,299486,234896,59947
1957,212238,430211,275328,42168,3315,364365,280766,52815
1958,136654,417281,268442,43142,3164,354225,284888,56544
1959,119582,356234,295545,46775,2846,480669,376225,47069
1960,78101,349175,351149,41259,2799,480661,379822,48877
1961,127049,366934,337785,51149,3069,383993,353371,26724
1962,108002,349451,408838,48350,3426,536470,452534,27169
1963,55861,320609,465128,40992,3633,590647,531694,28908
1964,16243,295897,495664,42868,4978,238290,683880,32279
1965,9215,405906,668574,43819,5757,396902,690895,29073
1966,13465,407665,624423,38950,6605,382899,774788,26309
1967,16801,365240,687474,48623,6950,477012,1247003,24023
1968,24378,357668,1015279,48363,19915,668364,1606025,35187
1969,20561,376801,1011406,51125,21141,478160,1944320,29156
1970,16767,365471,1301918,54875,19870,412240,2346710,23859
1971,57429,350692,1253892,48102,17444,364349,2707443,47126
1972,57883,369688,1189910,49738,20857,464365,3035285,48767
1973,296864,335425,1134503,52916,14220,347566,3020870,40422
1974,351684,287516,1330625,40977,21149,335018,2855896,46164
1975,526047,245164,1318210,38316,14633,385255,2677371,43936
1976,1065692,216664,978826,42763,15204,312144,2445423,52476
1977,1419826,244933,1355298,26915,40475,264239,1931072,44829
1978,1637380,152428,1625866,37414,7016,198516,1546176,50573
1979,1817034,134577,1414183,44970,6140,212841,1551116,49461
1980,2197744,150606,1301121,42009,7045,331225,1552421,38416
1981,3089311,160468,908015,37774,6181,196830,1595302,36066
1982,3289954,197453,717840,38443,5744,181721,1567481,34795
1983,3745148,207601,804849,41822,6142,192060,1434428,35596
1984,4179426,224069,813514,41212,8045,173732,1621351,38929
1985,3866128,205824,772699,33422,11143,132586,1532311,30197
1986,4209518,220870,944809,33761,11676,90997,1421782,46969
1987,4361526,140509,701406,35350,9690,182517,1312509,34130
1988,4488411,177492,648559,34908,8163,156444,1259095,55079
1989,4098989,182258,527486,39690,8048,211887,1153750,50099
1990,3678229,311427,273006,52098,7765,209390,871408,49681
1991,3010498,328870,255165,50995,6809,242002,540946,44803
1992,2223766,300892,269153,55427,5334,394365,498756,61208
1993,1713687,194511,664682,43248,4200,315934,382308,60095
1994,1188848,188034,633354,53802,5059,301651,379351,68374
1995,661391,251958,469805,61666,6381,290273,338507,47590
1996,319354,345517,760430,50333,3607,444189,331163,49752
1997,284054,233113,848967,47211,2349,365978,338785,55043
1998,167073,470616,511238,45484,2864,180749,315987,48441
1999,351207,484230,381866,54918,5321,237346,382385,28712
2000,149616,381020,346220,77461,10932,337285,300001,23833
2001,178423,301168,375273,66925,9056,298191,241881,31525
2002,50313,443158,279633,51194,8936,273579,213254,26355
2003,52050,534919,329273,60787,8488,253840,219652,30647
2004,50153,495795,338098,66345,9568,234603,239372,31655
2005,27601,348647,620393,54890,10412,222360,194049,35418
2006,52503,415497,652397,69353,13727,190317,206794,38196
2007,79099,362460,456552,72470,18095,253494,216636,60233
2008,34857,344989,520326,75964,15718,217472,211038,48255
2009,57429,341934,470904,78334,13925,218658,227261,53642
2010,70159,350683,491813,106890,14241,199832,251166,49549
2011,175781,261594,392506,110917,12720,242262,238920,84659
2012,135236,244738,438269,101842,12864,168207,229823,80657
2013,215004,247427,374954,117175,16486,180089,229577,89350
2014,195726,248069,481783,125153,18522,172688,194920,74851
2015,311054,168745,529977,122641,19867,128838,180349,97794
2016,382101,171176,507271,107671,20134,70363,134236,98218
2017,497963,146082,518848,120348,15201,64084,129269,72669
2018,524212,111374,545235,100421,15924,47799,127497,55343
2019,560832,130137,451567,109286,15862,40106,154002,61177
2020,698289,143834,390296,106315,16130,48289,160325,43423
2021,639927,118923,441837,94608,14337,32445,174525,73203
2022,641797,123241,319744,93112,10269,30717,160428,64257
2023,692699,112867,269636,87184,10730,21248,123011,88973
2024,666403,102699,255875,81404,9557,19850,123574,69476
